"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"LEGISLATIVE DISTRICT 25 - State Representative Pos. 1","Jamie Smith","(Prefers Democratic Party)",35742,46.48,"Legislative"
"LEGISLATIVE DISTRICT 25 - State Representative Pos. 1","WRITE-IN"," ",102,0.13,"Legislative"
"LEGISLATIVE DISTRICT 25 - State Representative Pos. 2","Cyndy Jacobsen","(Prefers Republican Party)",40242,52.42,"Legislative"
"LEGISLATIVE DISTRICT 25 - State Representative Pos. 2","Brian Duthie","(Prefers Democratic Party)",36406,47.42,"Legislative"
"LEGISLATIVE DISTRICT 25 - State Representative Pos. 2","WRITE-IN"," ",121,0.16,"Legislative"
"LEGISLATIVE DISTRICT 26 - State Representative Pos. 1","Jesse L. Young","(Prefers Republican Party)",47171,52.76,"Legislative"
"LEGISLATIVE DISTRICT 26 - State Representative Pos. 1","Carrie Hesch","(Prefers Democratic Party)",42113,47.1,"Legislative"
"LEGISLATIVE DISTRICT 26 - State Representative Pos. 1","WRITE-IN"," ",129,0.14,"Legislative"
"LEGISLATIVE DISTRICT 26 - State Representative Pos. 2","Joy Stanford","(Prefers Democratic Party)",40189,44.98,"Legislative"
"LEGISLATIVE DISTRICT 26 - State Representative Pos. 2","Michelle Caldier","(Prefers Republican Party)",48973,54.81,"Legislative"
"LEGISLATIVE DISTRICT 26 - State Representative Pos. 2","WRITE-IN"," ",183,0.2,"Legislative"
"LEGISLATIVE DISTRICT 27 - State Senator","Jeannie Darneille","(Prefers Democratic Party)",52421,69.55,"Legislative"
"LEGISLATIVE DISTRICT 27 - State Senator","Kyle Paskewitz","(Prefers Republican Party)",22785,30.23,"Legislative"
"LEGISLATIVE DISTRICT 27 - State Senator","WRITE-IN"," ",170,0.23,"Legislative"
"LEGISLATIVE DISTRICT 27 - State Representative Pos. 1","Laurie Jinkins","(Prefers Democratic Party)",54770,78.83,"Legislative"
"LEGISLATIVE DISTRICT 27 - State Representative Pos. 1","Ryan Talen","(Prefers Democratic Party)",12158,17.5,"Legislative"
"LEGISLATIVE DISTRICT 27 - State Representative Pos. 1","WRITE-IN"," ",2547,3.67,"Legislative"
"LEGISLATIVE DISTRICT 27 - State Representative Pos. 2","Jake Fey","(Prefers Democratic Party)",52081,71.39,"Legislative"
"LEGISLATIVE DISTRICT 27 - State Representative Pos. 2","Barry Knowles","(Prefers Independent Party)",20177,27.66,"Legislative"
"LEGISLATIVE DISTRICT 27 - State Representative Pos. 2","WRITE-IN"," ",695,0.95,"Legislative"
"LEGISLATIVE DISTRICT 28 - State Senator","Twina Nobles","(Prefers Democratic Party)",35802,50.61,"Legislative"
"LEGISLATIVE DISTRICT 28 - State Senator","Steve O'Ban","(Prefers Republican Party)",34793,49.19,"Legislative"
"LEGISLATIVE DISTRICT 28 - State Senator","WRITE-IN"," ",142,0.2,"Legislative"
"LEGISLATIVE DISTRICT 28 - State Representative Pos. 1","Mari Leavitt","(Prefers Democratic Party)",39973,57.21,"Legislative"
"LEGISLATIVE DISTRICT 28 - State Representative Pos. 1","Kevin Ballard","(Prefers Republican Party)",29785,42.63,"Legislative"
"LEGISLATIVE DISTRICT 28 - State Representative Pos. 1","WRITE-IN"," ",114,0.16,"Legislative"
"LEGISLATIVE DISTRICT 28 - State Representative Pos. 2","Dan Bronoske","(Prefers Democratic Party)",38365,55.01,"Legislative"
"LEGISLATIVE DISTRICT 28 - State Representative Pos. 2","Chris Nye","(Prefers Republican Party)",31227,44.78,"Legislative"
"LEGISLATIVE DISTRICT 28 - State Representative Pos. 2","WRITE-IN"," ",150,0.22,"Legislative"
"LEGISLATIVE DISTRICT 29 - State Representative Pos. 1","Melanie Morgan","(Prefers Democratic Party)",36634,63.61,"Legislative"
"LEGISLATIVE DISTRICT 29 - State Representative Pos. 1","Koshin Mohamed Fidaar","(Prefers Republican Party)",20745,36.02,"Legislative"
"LEGISLATIVE DISTRICT 29 - State Representative Pos. 1","WRITE-IN"," ",210,0.36,"Legislative"
"LEGISLATIVE DISTRICT 29 - State Representative Pos. 2","Terry Harder","(Prefers Republican Party)",23619,40.74,"Legislative"
